jersey_number,player_id,player_name,position,team_name,sortOrder,period,xCoord,yCoord,game_id
21.0,8477505.0,Alex Wennberg,C,Seattle Kraken,266,1,86.0,11.0,2023020333
21.0,8477505.0,Alex Wennberg,C,Seattle Kraken,328,2,83.0,-4.0,2023020625
21.0,8477505.0,Alex Wennberg,C,Seattle Kraken,510,2,84.0,-3.0,2023020239
21.0,8477505.0,Alex Wennberg,C,Seattle Kraken,629,3,68.0,13.0,2023020539
21.0,8477505.0,Alex Wennberg,C,Seattle Kraken,633,3,61.0,14.0,2023020438
27.0,8480823.0,Alexander Alexeyev,D,Washington Capitals,233,1,-33.0,-26.0,2023020285
94.0,8482222.0,Alexander Barabanov,L,San Jose Sharks,383,2,-70.0,-18.0,2023020601
94.0,8482222.0,Alexander Barabanov,L,San Jose Sharks,650,3,74.0,-14.0,2023020586
94.0,8482222.0,Alexander Barabanov,L,San Jose Sharks,712,3,82.0,3.0,2023020370
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,28,1,79.0,-11.0,2023020310
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,47,1,66.0,7.0,2023020151
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,60,1,54.0,-6.0,2023020344
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,60,1,81.0,-27.0,2023020656
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,116,1,76.0,2.0,2023020113
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,191,1,75.0,2.0,2023020087
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,200,1,69.0,-16.0,2023020296
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,435,2,-68.0,-15.0,2023020602
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,677,3,-83.0,-9.0,2023020245
10.0,8482125.0,Alexander Holtz,R,New Jersey Devils,688,3,84.0,2.0,2023020409
28.0,8481014.0,Alexander Romanov,D,New York Islanders,264,1,46.0,13.0,2023020216
28.0,8481014.0,Alexander Romanov,D,New York Islanders,308,2,-59.0,-18.0,2023020457
28.0,8481014.0,Alexander Romanov,D,New York Islanders,361,2,-69.0,-24.0,2023020646
28.0,8481014.0,Alexander Romanov,D,New York Islanders,421,2,-34.0,-22.0,2023020582
45.0,8478851.0,Alexandre Carrier,D,Nashville Predators,679,3,78.0,-14.0,2023020629
45.0,8478851.0,Alexandre Carrier,D,Nashville Predators,729,3,67.0,-14.0,2023020288
45.0,8478851.0,Alexandre Carrier,D,Nashville Predators,871,3,56.0,-10.0,2023020666
42.0,8480074.0,Alexandre Texier,C,Columbus Blue Jackets,79,1,64.0,-1.0,2023020210
42.0,8480074.0,Alexandre Texier,C,Columbus Blue Jackets,200,1,60.0,12.0,2023020268
42.0,8480074.0,Alexandre Texier,C,Columbus Blue Jackets,636,3,86.0,7.0,2023020230
42.0,8480074.0,Alexandre Texier,C,Columbus Blue Jackets,703,3,74.0,-9.0,2023020405
42.0,8480074.0,Alexandre Texier,C,Columbus Blue Jackets,706,3,87.0,-5.0,2023020176
42.0,8480074.0,Alexandre Texier,C,Columbus Blue Jackets,744,3,68.0,8.0,2023020463
13.0,8480281.0,Alexey Toropchenko,R,St. Louis Blues,270,1,81.0,-4.0,2023020379
13.0,8480281.0,Alexey Toropchenko,R,St. Louis Blues,346,2,57.0,18.0,2023020287
13.0,8480281.0,Alexey Toropchenko,R,St. Louis Blues,355,2,81.0,5.0,2023020271
13.0,8480281.0,Alexey Toropchenko,R,St. Louis Blues,430,2,-78.0,-7.0,2023020500
13.0,8480281.0,Alexey Toropchenko,R,St. Louis Blues,556,3,75.0,3.0,2023020164
13.0,8480281.0,Alexey Toropchenko,R,St. Louis Blues,787,3,87.0,-2.0,2023020219
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,63,1,-82.0,-7.0,2023020010
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,76,1,-76.0,5.0,2023020283
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,375,2,-79.0,0.0,2023020096
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,420,2,74.0,18.0,2023020225
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,437,2,-52.0,-26.0,2023020489
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,496,2,68.0,-21.0,2023020110
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,497,2,-79.0,5.0,2023020078
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,512,3,-79.0,-5.0,2023020196
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,653,3,-71.0,9.0,2023020529
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,780,3,-87.0,7.0,2023020225
13.0,8482109.0,Alexis Lafrenière,L,New York Rangers,862,5,-80.0,5.0,2023020225
21.0,8481656.0,Aliaksei Protas,C,Washington Capitals,106,1,-98.0,-15.0,2023020396
21.0,8481656.0,Aliaksei Protas,C,Washington Capitals,106,1,-98.0,-15.0,2023020396
21.0,8481656.0,Aliaksei Protas,C,Washington Capitals,106,1,-98.0,-15.0,2023020396
21.0,8481656.0,Aliaksei Protas,C,Washington Capitals,429,2,71.0,22.0,2023020263
21.0,8481656.0,Aliaksei Protas,C,Washington Capitals,518,2,73.0,-4.0,2023020216
27.0,8475314.0,Anders Lee,L,New York Islanders,37,1,87.0,-4.0,2023020286
27.0,8475314.0,Anders Lee,L,New York Islanders,59,1,-81.0,0.0,2023020248
27.0,8475314.0,Anders Lee,L,New York Islanders,176,1,81.0,5.0,2023020359
27.0,8475314.0,Anders Lee,L,New York Islanders,297,2,-83.0,6.0,2023020490
27.0,8475314.0,Anders Lee,L,New York Islanders,430,2,67.0,20.0,2023020302
27.0,8475314.0,Anders Lee,L,New York Islanders,592,3,76.0,-15.0,2023020516
27.0,8475314.0,Anders Lee,L,New York Islanders,614,3,60.0,6.0,2023020090
27.0,8475314.0,Anders Lee,L,New York Islanders,617,3,-57.0,0.0,2023020597
27.0,8475314.0,Anders Lee,L,New York Islanders,656,3,81.0,4.0,2023020415
27.0,8475314.0,Anders Lee,L,New York Islanders,690,3,86.0,-5.0,2023020496
27.0,8475314.0,Anders Lee,L,New York Islanders,757,3,74.0,6.0,2023020415
95.0,8477444.0,Andre Burakovsky,L,Seattle Kraken,521,2,-76.0,-7.0,2023020598
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,29,1,-59.0,-3.0,2023020527
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,62,1,-72.0,1.0,2023020454
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,83,1,-57.0,-20.0,2023020439
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,92,1,-71.0,-2.0,2023020527
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,151,1,-73.0,3.0,2023020029
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,370,2,76.0,-11.0,2023020156
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,585,3,-71.0,4.0,2023020353
96.0,8483808.0,Andrei Kuzmenko,L,Vancouver Canucks,727,3,81.0,-19.0,2023020068
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,29,1,-79.0,5.0,2023020542
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,136,1,-63.0,16.0,2023020486
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,217,1,-76.0,17.0,2023020639
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,264,1,81.0,-13.0,2023020575
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,331,2,79.0,3.0,2023020535
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,569,3,79.0,-6.0,2023020575
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,671,3,72.0,-21.0,2023020603
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,702,3,-58.0,10.0,2023020542
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,746,3,-59.0,-6.0,2023020318
37.0,8480830.0,Andrei Svechnikov,R,Carolina Hurricanes,783,3,64.0,35.0,2023020542
11.0,8471699.0,Andrew Cogliano,C,Colorado Avalanche,196,1,-82.0,-1.0,2023020275
11.0,8471699.0,Andrew Cogliano,C,Colorado Avalanche,663,3,-73.0,-8.0,2023020240
11.0,8471699.0,Andrew Cogliano,C,Colorado Avalanche,692,3,60.0,0.0,2023020662
11.0,8471699.0,Andrew Cogliano,C,Colorado Avalanche,750,3,90.0,-2.0,2023020264
18.0,8477429.0,Andrew Copp,C,Detroit Red Wings,371,2,81.0,-3.0,2023020035
18.0,8477429.0,Andrew Copp,C,Detroit Red Wings,473,2,82.0,-8.0,2023020050
18.0,8477429.0,Andrew Copp,C,Detroit Red Wings,494,2,84.0,-3.0,2023020659
18.0,8477429.0,Andrew Copp,C,Detroit Red Wings,510,3,-45.0,12.0,2023020640
18.0,8477429.0,Andrew Copp,C,Detroit Red Wings,685,3,-82.0,13.0,2023020161
18.0,8477429.0,Andrew Copp,C,Detroit Red Wings,704,3,73.0,-14.0,2023020183
18.0,8477429.0,Andrew Copp,C,Detroit Red Wings,807,3,-64.0,-29.0,2023020050
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,160,1,81.0,-9.0,2023020578
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,207,1,-74.0,7.0,2023020007
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,330,2,-63.0,25.0,2023020617
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,333,2,66.0,-2.0,2023020142
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,365,2,-69.0,-6.0,2023020431
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,416,2,-83.0,-2.0,2023020080
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,759,3,-84.0,-1.0,2023020277
88.0,8478233.0,Andrew Mangiapane,L,Calgary Flames,860,3,-65.0,7.0,2023020007
59.0,8481065.0,Angus Crookshank,L,Ottawa Senators,71,1,-74.0,2.0,2023020493
91.0,8478463.0,Anthony Beauvillier,L,Chicago Blackhawks,68,1,-81.0,3.0,2023020416
91.0,8478463.0,Anthony Beauvillier,L,Chicago Blackhawks,77,1,-74.0,-7.0,2023020524
91.0,8478463.0,Anthony Beauvillier,L,Chicago Blackhawks,529,3,-73.0,12.0,2023020156
91.0,8478463.0,Anthony Beauvillier,L,Chicago Blackhawks,636,3,-69.0,-8.0,2023020156
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,52,1,68.0,2.0,2023020198
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,94,1,71.0,-1.0,2023020389
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,94,1,71.0,-1.0,2023020389
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,140,1,-73.0,2.0,2023020418
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,269,1,78.0,-3.0,2023020375
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,329,2,81.0,5.0,2023020033
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,522,2,-72.0,-5.0,2023020324
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,706,3,75.0,0.0,2023020375
71.0,8478519.0,Anthony Cirelli,C,Tampa Bay Lightning,801,3,-45.0,-31.0,2023020452
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,33,1,77.0,12.0,2023020189
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,61,1,86.0,4.0,2023020370
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,179,1,-43.0,-9.0,2023020655
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,340,2,-78.0,-4.0,2023020509
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,387,2,77.0,-18.0,2023020355
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,396,2,-69.0,9.0,2023020171
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,586,3,-79.0,2.0,2023020355
10.0,8477407.0,Anthony Duclair,L,San Jose Sharks,672,3,87.0,10.0,2023020062
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,28,1,-88.0,7.0,2023020352
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,103,1,-76.0,15.0,2023020099
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,151,1,79.0,6.0,2023020339
