jersey,person.id,person.fullName,position,team_name,goals
38,8480242,Arnaud Durandeau,Left Wing,New York Islanders,1
38,8480873,Rasmus Sandin,Defenseman,Washington Capitals,1
38,8482080,Noel Gunler,Right Wing,Carolina Hurricanes,1
38,8482861,Vincent Iorio,Defenseman,Washington Capitals,0
39,8474053,Logan Couture,Center,San Jose Sharks,0
39,8475842,Sam Carrick,Center,Anaheim Ducks,2
39,8477511,Anthony Mantha,Right Wing,Washington Capitals,0
39,8478224,Luke Philp,Center,Chicago Blackhawks,0
39,8479364,Tim Gettinger,Left Wing,Detroit Red Wings,0
39,8479987,Morgan Geekie,Center,Boston Bruins,1
39,8480834,Ty Emberson,Defenseman,San Jose Sharks,0
39,8481532,Alex Turcotte,Center,Los Angeles Kings,0
39,8481666,Reece Newkirk,Center,New York Islanders,0
39,8482051,Jerad Rosburg,Defenseman,Dallas Stars,0
39,8482679,Matt Coronato,Right Wing,Calgary Flames,4
39,8482858,Ryker Evans,Defenseman,Seattle Kraken,0
39,8483489,Fraser Minten,Center,Toronto Maple Leafs,1
39,8484325,Waltteri Merela,Center,Tampa Bay Lightning,2
4,8474602,Justin Schultz,Defenseman,Seattle Kraken,0
4,8475181,Nick Leddy,Defenseman,St. Louis Blues,0
4,8475750,Jon Merrill,Defenseman,Minnesota Wild,0
4,8475764,Cam Fowler,Defenseman,Anaheim Ducks,0
4,8477335,Kyle Burroughs,Defenseman,San Jose Sharks,1
4,8477495,Seth Jones,Defenseman,Chicago Blackhawks,0
4,8478397,Rasmus Andersson,Defenseman,Calgary Flames,0
4,8479522,Hardy Haman Aktell,Defenseman,Washington Capitals,0
4,8479578,Casey Fitzgerald,Defenseman,Florida Panthers,0
4,8479976,Juuso Valimaki,Defenseman,Arizona Coyotes,0
4,8480036,Miro Heiskanen,Defenseman,Dallas Stars,0
4,8480145,Neal Pionk,Defenseman,Winnipeg Jets,1
4,8481524,Bowen Byram,Defenseman,Colorado Avalanche,0
4,8481541,Samuel Bolduc,Defenseman,New York Islanders,0
4,8482073,Braden Schneider,Defenseman,New York Rangers,0
4,8482705,Cole Sillinger,Center,Columbus Blue Jackets,1
40,8476469,Joel Armia,Right Wing,Montréal Canadiens,0
40,8480012,Elias Pettersson,Center,Vancouver Canucks,1
40,8483799,Kyle McDonald,Right Wing,Dallas Stars,1
41,8474145,Robert Bortuzzo,Defenseman,St. Louis Blues,0
41,8476906,Shayne Gostisbehere,Defenseman,Detroit Red Wings,0
41,8477930,Pierre-Edouard Bellemare,Left Wing,Seattle Kraken,0
41,8482192,Isaak Phillips,Defenseman,Chicago Blackhawks,0
