jerseyNumber,person.id,person.fullName,position.name,team_name,player_id,x,y
25,8475795,Dylan McIlrath,Defenseman,Washington Capitals,,,
54,8480049,Dylan Samberg,Defenseman,Winnipeg Jets,,,
17,8478440,Dylan Strome,Center,Washington Capitals,8478440,-47,0
,8479380,Dylan Wells,Goalie,Chicago Blackhawks,,,
65,8478062,Dysin Mayo,Defenseman,Arizona Coyotes,,,
20,8480009,Eeli Tolvanen,Right Wing,Nashville Predators,8480009,62,3
20,8480009,Eeli Tolvanen,Right Wing,Nashville Predators,8480009,75,-17
20,8480009,Eeli Tolvanen,Right Wing,Seattle Kraken,8480009,62,3
20,8480009,Eeli Tolvanen,Right Wing,Seattle Kraken,8480009,75,-17
27,8480185,Eetu Luostarinen,Center,Florida Panthers,8480185,-70,4
27,8480185,Eetu Luostarinen,Center,Florida Panthers,8480185,73,-1
32,8480199,Eetu Makiniemi,Goalie,San Jose Sharks,,,
70,8481585,Egor Afanasyev,Left Wing,Nashville Predators,,,
75,8481102,Egor Sokolov,Left Wing,Ottawa Senators,,,
5,8481178,Egor Zamula,Defenseman,Philadelphia Flyers,,,
28,8477496,Elias Lindholm,Center,Calgary Flames,8477496,79,2
40,8480012,Elias Pettersson,Center,Vancouver Canucks,8480012,-49,3
73,8482452,Elliot Desnoyers,Left Wing,Philadelphia Flyers,,,
85,8481725,Elmer Soderblom,Left Wing,Detroit Red Wings,8481725,56,5
90,8478007,Elvis Merzlikins,Goalie,Columbus Blue Jackets,,,
52,8480205,Emil Bemstrom,Right Wing,Columbus Blue Jackets,8480205,-66,-20
52,8480205,Emil Bemstrom,Right Wing,Columbus Blue Jackets,8480205,-69,-22
31,8477480,Eric Comrie,Goalie,Buffalo Sabres,,,
50,8480762,Eric Robinson,Left Wing,Columbus Blue Jackets,,,
12,8470595,Eric Staal,Center,Florida Panthers,,,
26,8480073,Erik Brannstrom,Defenseman,Ottawa Senators,,,
81,8478416,Erik Cernak,Defenseman,Tampa Bay Lightning,,,
44,8475790,Erik Gudbranson,Defenseman,Columbus Blue Jackets,,,
56,8476979,Erik Gustafsson,Defenseman,Toronto Maple Leafs,8476979,71,18
56,8476979,Erik Gustafsson,Defenseman,Washington Capitals,8476979,71,18
56,8475287,Erik Haula,Left Wing,New Jersey Devils,8475287,78,-6
56,8475287,Erik Haula,Left Wing,New Jersey Devils,8475287,-61,-5
6,8473446,Erik Johnson,Defenseman,Colorado Avalanche,,,
50,8478902,Erik Kallgren,Goalie,Toronto Maple Leafs,,,
65,8474578,Erik Karlsson,Defenseman,San Jose Sharks,,,
23,8476902,Esa Lindell,Defenseman,Dallas Stars,,,
74,8478451,Ethan Bear,Defenseman,Vancouver Canucks,,,
2,8480803,Evan Bouchard,Defenseman,Edmonton Oilers,,,
17,8478542,Evan Rodrigues,Center,Colorado Avalanche,,,
91,8475169,Evander Kane,Left Wing,Edmonton Oilers,,,
71,8471215,Evgeni Malkin,Center,Pittsburgh Penguins,,,
63,8474149,Evgenii Dadonov,Right Wing,Montréal Canadiens,8474149,81,7
63,8474149,Evgenii Dadonov,Right Wing,Montréal Canadiens,8474149,-82,6
63,8474149,Evgenii Dadonov,Right Wing,Dallas Stars,8474149,81,7
63,8474149,Evgenii Dadonov,Right Wing,Dallas Stars,8474149,-82,6
92,8475744,Evgeny Kuznetsov,Center,Washington Capitals,,,
10,8478431,Evgeny Svechnikov,Left Wing,San Jose Sharks,,,
20,8480188,Fabian Zetterlund,Left Wing,New Jersey Devils,,,
20,8480188,Fabian Zetterlund,Left Wing,San Jose Sharks,,,
32,8478433,Felix Sandstrom,Goalie,Philadelphia Flyers,,,
72,8480078,Filip Chytil,Center,New York Rangers,,,
9,8476887,Filip Forsberg,Left Wing,Nashville Predators,,,
32,8479406,Filip Gustavsson,Goalie,Minnesota Wild,,,
36,8480842,Filip Hallander,Center,Pittsburgh Penguins,,,
17,8479425,Filip Hronek,Defenseman,Detroit Red Wings,,,
17,8479425,Filip Hronek,Defenseman,Vancouver Canucks,,,
82,8480820,Filip Kral,Defenseman,Toronto Maple Leafs,,,
48,8483619,Filip Roos,Defenseman,Chicago Blackhawks,,,
,8480821,Filip Zadina,Right Wing,Detroit Red Wings,,,
77,8478366,Frank Vatrano,Right Wing,Anaheim Ducks,,,
82,8479329,Frederic Allard,Defenseman,Montréal Canadiens,,,
89,8477919,Frederick Gaudreau,Center,Minnesota Wild,,,
31,8475883,Frederik Andersen,Goalie,Carolina Hurricanes,,,
51,8479518,Fredrik Karlström,Center,Dallas Stars,,,
42,8478028,Fredrik Olofsson,Left Wing,Dallas Stars,8478028,71,0
