jerseyNumber,person.id,person.fullName,team_name,goals
17.0,8479425.0,Filip Hronek,Vancouver Canucks,0
77.0,8478366.0,Frank Vatrano,Anaheim Ducks,0
39.0,8483489.0,Fraser Minten,Toronto Maple Leafs,1
89.0,8477919.0,Frederick Gaudreau,Minnesota Wild,0
31.0,8475883.0,Frederik Andersen,Carolina Hurricanes,0
42.0,8478028.0,Fredrik Olofsson,Colorado Avalanche,1
82.0,8480863.0,Gabriel Fortier,Tampa Bay Lightning,0
13.0,8480014.0,Gabriel Vilardi,Winnipeg Jets,0
19.0,8477903.0,Garnet Hathaway,Philadelphia Flyers,0
42.0,8483567.0,Georgii Merkulov,Boston Bruins,0
54.0,8479379.0,Givani Smith,San Jose Sharks,0
42.0,8478446.0,Glenn Gawdin,Anaheim Ducks,0
33.0,8480306.0,Grant Hutton,New York Islanders,0
45.0,8483560.0,Griffin Mendel,Carolina Hurricanes,0
14.0,8480844.0,Grigori Denisenko,Florida Panthers,0
55.0,8478465.0,Guillaume Brisebois,Vancouver Canucks,0
42.0,8478055.0,Gustav Forsling,Florida Panthers,0
27.0,8480184.0,Gustav Lindström,Montréal Canadiens,0
14.0,8474679.0,Gustav Nyquist,Nashville Predators,0
23.0,8477467.0,Gustav Olofsson,Seattle Kraken,0
27.0,8476854.0,Hampus Lindholm,Boston Bruins,0
4.0,8479522.0,Hardy Haman Aktell,Washington Capitals,0
7.0,8477938.0,Haydn Fleury,Tampa Bay Lightning,0
29.0,8482148.0,Hendrix Lapierre,Washington Capitals,0
10.0,8480035.0,Henri Jokiharju,Buffalo Sabres,2
53.0,8481695.0,Henri Nikkanen,Winnipeg Jets,0
3.0,8481567.0,Henry Thrun,San Jose Sharks,2
20.0,8477392.0,Hudson Fasching,New York Islanders,0
41.0,8484125.0,Hunter McKown,Columbus Blue Jackets,0
31.0,8482411.0,Hunter Shepard,Washington Capitals,0
82.0,8474013.0,Ian Cole,Vancouver Canucks,0
14.0,8480070.0,Ian Mitchell,Boston Bruins,0
31.0,8478048.0,Igor Shesterkin,New York Rangers,0
46.0,8480950.0,Ilya Lyubushkin,Anaheim Ducks,0
65.0,8481624.0,Ilya Mikheyev,Vancouver Canucks,0
35.0,8478492.0,Ilya Samsonov,Toronto Maple Leafs,0
98.0,8482470.0,Ilya Solovyov,Calgary Flames,1
30.0,8478009.0,Ilya Sorokin,New York Islanders,0
41.0,8482192.0,Isaak Phillips,Chicago Blackhawks,0
21.0,8480806.0,Isac Lundestrom,Anaheim Ducks,0
49.0,8477964.0,Ivan Barbashev,Vegas Golden Knights,1
63.0,8483491.0,Ivan Miroshnichenko,Washington Capitals,0
9.0,8478500.0,Ivan Provorov,Columbus Blue Jackets,0
90.0,8482655.0,J.J. Moser,Arizona Coyotes,0
37.0,8477456.0,J.T. Compher,Detroit Red Wings,1
9.0,8476468.0,J.T. Miller,Vancouver Canucks,0
77.0,8482175.0,JJ Peterka,Buffalo Sabres,2
74.0,8476958.0,Jaccob Slavin,Carolina Hurricanes,0
54.0,8482072.0,Jack Ahcan,Colorado Avalanche,0
36.0,8475789.0,Jack Campbell,Edmonton Oilers,0
18.0,8480835.0,Jack Drury,Carolina Hurricanes,0
9.0,8478403.0,Jack Eichel,Vegas Golden Knights,0
86.0,8481559.0,Jack Hughes,New Jersey Devils,2
3.0,8471677.0,Jack Johnson,Colorado Avalanche,0
22.0,8480855.0,Jack McBain,Arizona Coyotes,0
22.0,8482097.0,Jack Quinn,Buffalo Sabres,0
96.0,8478458.0,Jack Roslovic,Columbus Blue Jackets,1
23.0,8480021.0,Jack Studnicka,Vancouver Canucks,0
60.0,8481605.0,Jackson LaCombe,Anaheim Ducks,2
24.0,8480879.0,Jacob Bernard-Docker,Ottawa Senators,0
78.0,8480196.0,Jacob Bryson,Buffalo Sabres,0
32.0,8478491.0,Jacob Larsson,Ottawa Senators,0
9.0,8479439.0,Jacob MacDonald,San Jose Sharks,0
25.0,8474593.0,Jacob Markstrom,Calgary Flames,0
24.0,8480216.0,Jacob Peterson,San Jose Sharks,0
8.0,8476885.0,Jacob Trouba,New York Rangers,0
17.0,8475768.0,Jaden Schwartz,Seattle Kraken,0
34.0,8474596.0,Jake Allen,Montréal Canadiens,0
22.0,8479402.0,Jake Bean,Columbus Blue Jackets,0
23.0,8481161.0,Jake Christiansen,Columbus Blue Jackets,0
74.0,8478498.0,Jake DeBrusk,Boston Bruins,1
71.0,8478133.0,Jake Evans,Montréal Canadiens,0
59.0,8477404.0,Jake Guentzel,Pittsburgh Penguins,0
22.0,8476931.0,Jake McCabe,Toronto Maple Leafs,0
5.0,8478136.0,Jake Middleton,Minnesota Wild,0
8.0,8474162.0,Jake Muzzin,Toronto Maple Leafs,0
63.0,8482089.0,Jake Neighbours,St. Louis Blues,0
29.0,8479979.0,Jake Oettinger,Dallas Stars,0
85.0,8482105.0,Jake Sanderson,Ottawa Senators,0
96.0,8478013.0,Jake Walman,Detroit Red Wings,0
6.0,8479345.0,Jakob Chychrun,Ottawa Senators,2
22.0,8481592.0,Jakob Pelletier,Calgary Flames,0
33.0,8475164.0,Jakob Silfverberg,Anaheim Ducks,0
94.0,8480880.0,Jakub Lauko,Boston Bruins,0
1.0,8480819.0,Jakub Skarek,New York Islanders,0
15.0,8477944.0,Jakub Vrana,St. Louis Blues,3
67.0,8478415.0,Jakub Zboril,Boston Bruins,0
5.0,8478970.0,Jalen Chatfield,Carolina Hurricanes,0
67.0,8482744.0,James Malatesta,Columbus Blue Jackets,0
47.0,8473503.0,James Reimer,Detroit Red Wings,0
21.0,8474037.0,James van Riemsdyk,Boston Bruins,1
14.0,8473994.0,Jamie Benn,Dallas Stars,0
24.0,8476467.0,Jamie Oleksiak,Seattle Kraken,0
81.0,8481579.0,Jamieson Rees,Carolina Hurricanes,0
84.0,8480172.0,Jan Rutta,San Jose Sharks,0
2.0,8475825.0,Jani Hakanpää,Dallas Stars,0
12.0,8478424.0,Jansen Harkins,Pittsburgh Penguins,2
19.0,8477955.0,Jared McCann,Seattle Kraken,0
